CustomerIndex,ActualChurn,ChurnProbability,PredictedChurn
2830,0,0.4887044824717576,0
1798,1,0.739816840579962,1
1009,0,0.28385244218199235,0
2478,0,0.8908135594958,1
2487,1,0.8347740638707484,1
4573,0,0.62657210250351,1
2253,0,0.4987880373451597,0
2150,0,0.5200584155473972,1
4,0,0.4066584950004573,0
1369,0,0.7396979785507385,1
4185,1,0.6679872796010657,1
3523,1,0.5808584578420022,1
4149,0,0.710498247433497,1
2848,1,0.6313992370699006,1
3934,0,0.13149224024210754,0
3460,0,0.7868896776935921,1
2207,0,0.03863486682615024,0
2089,0,0.018479621554538493,0
1898,0,0.11023951060219574,0
1232,0,0.31753760707493794,0
2488,1,0.499271605979269,0
2524,0,0.4080269061261424,0
1598,0,0.5017983698799533,1
4416,0,0.4467551109878673,0
978,0,0.02901340940825269,0
4350,0,0.6473782001091634,1
2799,0,0.5550825977804157,1
1991,0,0.6370469084375747,1
1452,0,0.13059503761900537,0
1112,0,0.11149130103640126,0
1890,1,0.736842057821169,1
4431,1,0.5170505512962658,1
1870,0,0.5521067103189057,1
3989,0,0.14164676316685493,0
2446,0,0.028534796053942282,0
2194,1,0.39897583781962354,0
4334,0,0.2762905830348611,0
2502,0,0.6870131615462535,1
4333,1,0.8921725556433457,1
710,0,0.4873566619986459,0
2504,0,0.34306381396620833,0
564,0,0.08830345797538854,0
2187,0,0.645115005109245,1
4004,1,0.824126918153413,1
1273,0,0.3330077242864719,0
2824,0,0.005647967526396343,0
1297,1,0.42710890089092673,0
2391,1,0.6593108468540737,1
4005,0,0.7127778060284171,1
73,1,0.5422666409215192,1
1193,1,0.6093301431047979,1
1183,0,0.20334403369643417,0
1791,1,0.5333043188437988,1
2720,0,0.14985689219484188,0
809,1,0.5037832550644201,1
3544,0,0.13860389997602726,0
1110,1,0.7404244882935259,1
2868,0,0.06736487677268152,0
3875,0,0.0448404899054494,0
1835,0,0.13179513721940775,0
4584,0,0.18432940201271844,0
351,0,0.14552709167880334,0
3480,1,0.6657981695054108,1
2646,1,0.8990622161521412,1
1424,0,0.2281172692647405,0
4037,1,0.8517346906865708,1
727,0,0.20301939015924222,0
4362,1,0.14027274935733072,0
4823,0,0.1896652241799858,0
1140,1,0.3055472087333689,0
4826,1,0.27354815740369515,0
135,0,0.5611059226665117,1
3622,0,0.09788820341231386,0
1008,1,0.6318906979706778,1
4547,0,0.08478605604921392,0
2778,0,0.08064519567330802,0
2015,1,0.07071021755194151,0
3640,1,0.5104309371845936,1
4735,0,0.4388860665536707,0
1125,1,0.7554408209585317,1
3007,0,0.3752345613506055,0
4787,0,0.013783655369021222,0
3177,0,0.22809395678297795,0
4593,0,0.3276707857948306,0
764,1,0.8607529060488361,1
1723,1,0.5209350059573734,1
1682,0,0.15686433681370748,0
1683,0,0.49879373263933174,0
1968,0,0.048671001329172243,0
721,0,0.07550213309942043,0
4509,0,0.0046637431832237015,0
553,1,0.658516021623048,1
3630,0,0.20341698679019682,0
1624,0,0.22271111302884905,0
4679,0,0.811003428575685,1
970,0,0.15611216776386436,0
2242,1,0.37696455240844967,0
4348,0,0.3204737847679273,0
3229,1,0.46861975056715366,0
1304,0,0.6065271858763033,1
1481,0,0.1681005935407715,0
3316,0,0.4895286879394534,0
1482,0,0.10433685180550442,0
4692,0,0.11320525292764151,0
3056,0,0.21311204584282847,0
1578,0,0.4545457462151824,0
1300,0,0.18066154617046462,0
569,0,0.26636221229820145,0
4049,0,0.03224182421713258,0
3885,1,0.7566847231895117,1
788,0,0.2075557337208733,0
